musicbrainz_id,type,score,name,spotify_id,followers,genres,popularity
669408e1-b700-420b-8f52-c1e59eb93e81,Group,66,Монгол Шуудан,21WxeFt6mxgD9P8lM9RXN3,5630,"['russian punk', 'russian rock']",33
67d957a2-8dc8-4036-bb2e-c00946f6cac3,Person,66,Давид Фёдорович Ойстрах,7o2OjTu0Ls0xiWl3RzjdVp,23765,"['classical performance', 'violin']",42
baa9c5d3-c96a-450c-928f-507a9a351d75,Person,66,Лариса Долина,3vfSJC5qMqgPTnSkiNKiQu,1700,['classic russian pop'],33
0749abbc-4902-441b-b5e6-914a56a5d665,Group,66,Purgen,4edDuKY2ldc0lB72DON5ku,5273,"['russian hardcore', 'russian punk']",29
a0c5737e-da6d-468f-a78e-19146494f1db,Person,66,Noize MC,69v4ZOOomf1TNp59YYB1j7,501797,"['russian hip hop', 'russian reggae', 'russian rock']",62
8c123de7-d19d-44d3-a514-9edeb0cc2b2c,Person,66,Павел Кашин,26fX0bzuVA60v3flSfkINj,2706,"['bard', 'russian rock']",26
a975f287-1633-4268-8e38-f6f6398bf092,Person,66,Bobina,7H63wD8xWXAKdYVjZmE90B,25689,"['deep uplifting trance', 'progressive house', 'progressive trance', 'progressive uplifting trance', 'russian edm', 'russian trance', 'trance', 'uplifting trance']",43
ed34093b-bd02-4e25-ab11-84d0f96b0cf4,Orchestra,66,Российский национальный оркестр,5wg24Cn6jbH532Htu3FJ25,12,[],7
d5f4a913-9c90-4e53-a604-793838584dda,Group,66,Химера,3khpkM8XWb7Qbc1ZXC1x0F,2753,[],21
933238c5-a1ac-4c8f-9a98-7131ec3aeda6,Group,66,Коррозия металла,3wx3nctidhZtfVPbCDQwVB,2803,['russian alternative'],22
bec3b214-0f07-4026-a859-07b7bbaa6ce0,Group,66,Чиж & Co,5Os2UA78JtURZSEdBN1hiQ,88718,"['classic russian rock', 'russian rock']",46
bfe09fc5-c12a-413d-88bf-b40bea40bf4c,Person,66,Антон Степанович Аренский,,0,[],0
1e52f345-e76e-4b3c-898e-f8b043781e0a,Person,65,Thomas de Hartmann,7jqkUMjqGY2FfZRUirtKdo,2228,[],32
229cc68b-2a26-4d4c-8963-b70af1e63377,Group,65,Чёрный кофе,2I1CyuXXtqhYCgX1blMfDg,13097,"['classic russian rock', 'russian alternative', 'russian metal', 'russian rock']",26
0fbf1500-a8bd-4db2-b372-86d195c69682,Person,65,Nikita Magaloff,5F6RXixH6tg6wxOoZblmhS,1916,"['classical piano', 'russian classical piano']",37
482dc0a4-0c39-40dc-9d6d-ca250a5ef833,Person,65,Милий Алексеевич Балакирев,,0,[],0
be3cd5d7-ba60-4533-a42d-385b680d4884,Person,65,Александр Градский,69gCW42wbVv31liThNis6o,1759,"['bard', 'classic russian rock']",22
122a95bb-54c9-448e-b533-b9394231693b,Group,65,Дюна,0ILtPcpkFIOl6B5GuLdUGf,2510,[],25
7c8292d3-3740-4c3d-baaf-6667e5a28478,Person,65,Игорь Растеряев,2noTvGMeSaY4BnJxniRF37,1608,[],28
175083ce-69c9-4974-910d-e52cc361509c,Person,65,Сергей Калугин,59zuN6B3st5vEDzvKoILpe,151,[],0
119b77f3-87f4-45e2-a647-5cc21d0d0763,Person,65,Алсу,5AcAxnSYc5RNLA6Iy3dZxD,16820,"['classic russian pop', 'russian pop', 'tatar pop']",40
b2b97779-e09d-4e76-a0c9-a4c80cf043fa,Person,65,Sainkho Namtchylak,45q77VMb6x9mgH5dAMLDJp,9863,"['experimental vocal', 'siberian folk', 'throat singing', 'world fusion']",29
428b0535-3a0f-4b0a-9349-94afeedbab47,Choir,65,The Russian Patriarchate Choir,7ifgaHqEDoSoZnkAOd659r,164,['orthodox chant'],14
1b19de02-6bf4-443b-9b8e-5ae9337b94c1,Person,65,Евгений Александрович Мравинский,,0,[],0
e3e4412d-c082-4307-ad6d-83a4d8aded39,Person,65,Александр Городницкий,3dq0k3jt5VCh318vIxBVqY,2249,"['bard', 'russian chanson']",18
844b4265-47dc-4867-ad9b-3f83f889681c,Group,65,Сурганова и Оркестр,5mgIPYXf55SEmZcPdeECK7,24111,['russian rock'],34
e37e9da5-a3da-4e90-a02d-edbb621ecd69,Person,65,Анатолий Гринденко,3vNg9cxzwCmYw7JtBQc2EJ,1,[],1
b064a735-0d50-4554-99c8-c6696d2ce2a2,Group,65,Соломенные еноты,16RWWb6CXRQ11FvQUHcaey,1347,[],14
1400f9b3-96a9-4017-9590-961180ee3934,Person,65,Eguana,2nYWhMzt3fDNNW0cwPIw7V,4458,"['ambient psychill', 'psychill']",33
762123ce-55b6-4138-a694-3cb040805206,Person,65,МакSим,0skU3bkFwP0sFmUIb03q82,19035,"['russian dance pop', 'russian pop']",50
6e3d75a2-b371-4156-a1c1-7b56e1c965a3,Group,65,Huun‐Huur‐Tu,1bK0K2tuAcvMScEWIHt54t,37484,"['siberian folk', 'throat singing']",38
8b008af7-cdb9-4abe-baed-ba737622e310,Person,65,Рейнгольд Морицевич Глиэр,,0,[],0
24b79f21-8628-4ab6-ada7-ec27f9a90fb3,Person,65,Ирина Аллегрова,1Zb7mgt9TRL16FhZa6qhXf,42087,"['classic russian pop', 'russian pop']",46
15d280dd-fda7-46c9-8924-22c3336b3b2a,Person,65,Марк Фридрихович Эрмлер,,0,[],0
973d7c4c-11b6-4424-980a-eb9262a08589,Group,65,Animal ДжаZ,5qG2J0qnQEu26oybRztt0H,91639,"['classic russian rock', 'russian alternative', 'russian rock']",45
da9e37f3-9439-4ffb-9ce7-a9723114068f,Group,65,Reutoff,5LLFSRDoBP5OAWEBaUgmcS,295,[],5
8b86576e-1cf5-46c8-970a-a79d13c2e0f0,Person,65,Дима Билан,19rplJ3Uh67C1fNAwq7ohw,117020,"['eurovision', 'russian dance pop', 'russian pop']",52
7276161f-27cf-4bff-87d2-8817a419b107,Group,65,Танцы Минус,6xFnKVrOJtiGfcPdsA7qUz,94390,"['classic russian rock', 'russian pop', 'russian rock']",46
f5ee3b00-d677-4fd6-9589-7430e6a7d12f,Person,65,Electrosoul System,0tSNYelLMRA52oDWmw5eU3,6747,"['drumfunk', 'liquid funk', 'russian dnb']",27
947d2c56-fea3-43c3-bbe0-594c37b5dd1f,Person,65,Николай Васильевич Гоголь,1iz108xRaHwKHeNLLZ6230,8,[],6
4232481b-b62b-4b88-a9df-29dd00614695,Person,65,Владимир Владимирович Софроницкий,4Zop0zkYmho9A58QPgVlDK,3589,"['historic piano performance', 'russian classical piano']",18
ef7d0e47-5b5d-475d-b5fc-edeb8dd3f111,Person,65,Канцлер Ги,0VGwuaMchp66FYk5nW35Z8,3674,[],25
05e5468c-91db-4580-97f8-30062fe96f4b,Group,65,Dominia,6USv9qhCn6zfxlBQIYJ9qs,409382,"['alternative pop rock', 'pop']",77
b84a350a-f3e7-4c03-831e-598d22f04a5e,Group,65,Wintaar,1qxhLd8dGrxyitUkJ6o7B7,341,['russian black metal'],7
6dea3ea1-ab59-4195-92cf-23678ac20c96,Group,64,Моральный Кодекс,2QJRa0u7FHPun30bWM6kaU,2351,"['classic russian rock', 'russian rock']",31
ec4e96b9-a5fc-4eea-9c69-2cc2a395f46e,Group,64,SCSI-9,7JTgP1gZgyg0SvuDezzyGo,7834,"['microhouse', 'minimal techno']",24
940f628d-0da4-4aa4-9a07-84436c5d16ec,Group,64,Блестящие,3oNIRhMTbqkGQzOhK6Jwhl,14438,['russian pop'],40
79f2d759-2794-4a5b-997b-92939f50cf7e,Person,64,Bert Shefter,21DNWHfxPhSLOxWAar91pU,27,[],2
94df8e29-747c-4a74-b281-f2684926b9e8,Group,64,Billy's Band,0lsP48pYd6v6VV9Vvq9S1R,29070,['russian rock'],24
4d4a6aa6-6ceb-44a0-8ecf-971f0a27b54a,Person,64,Олег Газманов,0tKxkHvnDulyGf7uTy1HQK,23880,"['classic russian pop', 'russian pop']",42
a3c5385a-9727-40c8-8152-fb3d98181fff,Group,64,Каста,5I37oVgAnT7OGiqKJSMVRH,80419,"['kavkaz', 'russian gangster rap', 'russian hip hop', 'russian rock']",49
